Fecha,Infectados
2021-02-14,280
2021-02-15,361
2021-02-16,271
2021-02-17,209
2021-02-18,227
2021-02-19,301
2021-02-20,250
2021-02-21,269
2021-02-22,264
2021-02-23,259
2021-02-24,151
2021-02-25,298
2021-02-26,304
2021-02-27,303
2021-02-28,294
2021-03-01,331
2021-03-02,297
2021-03-03,288
2021-03-04,376
2021-03-05,413
2021-03-06,372
2021-03-07,412
2021-03-08,539
2021-03-09,456
2021-03-10,369
2021-03-11,504
2021-03-12,639
2021-03-13,716
2021-03-14,669
2021-03-15,953
2021-03-16,879
2021-03-17,650
2021-03-18,482
2021-03-19,1073
2021-03-20,1246
2021-03-21,1116
2021-03-22,1423
2021-03-23,1290
2021-03-24,1186
2021-03-25,1656
2021-03-26,1874
2021-03-27,2002
2021-03-28,1221
2021-03-29,1383
2021-03-30,1604
2021-03-31,1469
2021-04-01,2231
2021-04-02,2443
2021-04-03,2359
2021-04-04,2244
2021-04-05,2610
2021-04-06,2041
2021-04-07,1759
2021-04-08,2101
2021-04-09,2558
2021-04-10,1951
2021-04-11,1762
2021-04-12,2160
2021-04-13,1775
2021-04-14,1296
2021-04-15,1814
2021-04-16,1956
2021-04-17,1775
2021-04-18,1877
2021-04-19,1971
2021-04-20,1638
2021-04-21,1340
2021-04-22,1444
2021-04-23,1705
2021-04-24,1312
2021-04-25,1299
2021-04-26,1381
2021-04-27,959
2021-04-28,777
2021-04-29,1108
2021-04-30,1468
2021-05-01,1118
2021-05-02,1188
2021-05-03,1184
2021-05-04,976
2021-05-05,685
2021-05-06,1314
2021-05-07,1260
2021-05-08,1176
2021-05-09,1259
2021-05-10,1271
2021-05-11,727
2021-05-12,625
2021-05-13,655
2021-05-14,1185
2021-05-15,1307
2021-05-16,1347
2021-05-17,1455
2021-05-18,1268
2021-05-19,1059
2021-05-20,1325
2021-05-21,1379
2021-05-22,1315
2021-05-23,1372
2021-05-24,1623
2021-05-25,1437
2021-05-26,1044
2021-05-27,1398
2021-05-28,1558
2021-05-29,1422
2021-05-30,1690
2021-05-31,1639
2021-06-01,1550
2021-06-02,1239
2021-06-03,894
2021-06-04,1583
2021-06-05,1755
2021-06-06,1756
2021-06-07,1878
2021-06-08,1785
2021-06-09,1086
2021-06-10,980
2021-06-11,1678
2021-06-12,2040
2021-06-13,1744
2021-06-14,2065
2021-06-15,2008
2021-06-16,1359
2021-06-17,1989
2021-06-18,1988
2021-06-19,2006
2021-06-20,1774
2021-06-21,1986
2021-06-22,1878
2021-06-23,1300
2021-06-24,1646
2021-06-25,2084
