Country Name;Indicator Name;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Bahrain;Green GDP;1583201381;1579068016;1633594161;19695120023;1966154172;2051237322;2318999685;2464870145;2456723655;2505002823;2493683475;2999893594;3256288649;3324891750;3500225262;3231736206;2714107742;2988946580;3324540099;3415683640;3616507489;4256691803;4383171259;4758045544;5172050381;5454998772;5667820715;5868015242;5781272362;6172812544;8476450753;8412901801;9010869759;10429372218;12395440132;14908303216;17218422164;20226178434;23825831394;21412857601;24141809568;26734407011;28053876913;29384437243;30189091274;29318640779;30977525836;34048124825;36209769807;37127597042
Bangladesh;Green GDP;8651318597;8442613787;6179477265;7963586942;12386345210;19280153408;9924360118;9253222536;12969409322;15361752148;17894696820;20013885543;18216753290;17364097000;18685148364;22061442335;21490318162;24012304179;26263885183;28470714672;31255966999;30602701030;31336306899;32812346875;33406128560;37514524101;46003229287;47799494746;49539080475;50778110622;52801608974;53340777493;54008487462;59422097975;64288007923;68465768905;70499815596;78280168751;90222311893;1,00909E+11;1,13498E+11;1,26183E+11;1,30663E+11;1,47592E+11;1,70364E+11;1,92595E+11;2,19252E+11;2,4731E+11;2,71216E+11;2,99112E+11
Barbados;Green GDP;191630294,7;207321584;250083717,6;280792858,6;303154875,3;392633677,7;426561645,7;484788131,7;541987681,2;659427349,4;999972384;1100926964;1150421237;1221397402;1330863846;1391712571;1528619525;1684137015;1794829650;1986498417;1989545634;1999626903;1937563736;2043195144;2135268255;2199237786;2345570292;2480116467;2796946453;2927126827;3031032360;3029505673;3082419395;3183791736;3416485151;3787014792;4180666176;4636308036;4737489411;4431740355;4490821610;4609956295;4564330148;4632612819;4657144076;4688124304;4804845454;4950731299;5059331468;5191540458
Belarus;Green GDP;11301951524;11545526672;12220467687;12568384657;12944209930;13018109903;13212581051;13647804082;13749669822;14068529573;14614954198;14689310470;14984292795;15520121407;15643888596;15889501832;16532779930;17332690178;17708715417;18773986413;20592384115;16961811526;15960519755;15323231496;14107874789;13182176289;13945013838;13304221658;14506664271;11372274681;11883449006;11554760907;13807825054;17008195073;22207600632;29177532822;35821937640;44128879570;59456453832;49742726211;55955882494;60274877639;64229805391;74170467337;77470323087;55399129604;46675296988;53567564321;58887346780;61883050971
Belgium;Green GDP;25311614360;28474109755;35759054719;46203989526;54531131392;64317782981;69662648694;81426017181;99730954790;1,14752E+11;1,25319E+11;1,0334E+11;90773058716;86041195538;82162541898;85087136853;1,18859E+11;1,48232E+11;1,61151E+11;1,62999E+11;2,04116E+11;2,09249E+11;2,33516E+11;2,23505E+11;2,43605E+11;2,86743E+11;2,77858E+11;2,51387E+11;2,57168E+11;2,56845E+11;2,34876E+11;2,35214E+11;2,55897E+11;3,16053E+11;3,67215E+11;3,84256E+11;4,06595E+11;4,69011E+11;5,13874E+11;4,80014E+11;4,79505E+11;5,21183E+11;4,94777E+11;5,20217E+11;5,3332E+11;4,60734E+11;4,74452E+11;5,02171E+11;5,41037E+11;5,28384E+11
Belize;Green GDP;51278616,35;56939325,43;63556393,37;75841721,84;100523928,1;115044804,4;93817836,34;114255186,4;132654886,9;148184654,9;194405061,9;192555560,9;178694776,7;188498732,5;210675709,7;208636004,4;227391098,3;276458579,7;315157859,6;363475517;406438453,2;437809796,4;511726870,9;552985834,1;573894727,8;612876563,6;634832626,1;646871181,8;681827322,2;726074620,7;824845967,6;860613375,4;917215569,5;975778360,5;1044120853;1094433820;1171927284;1221183426;1272423924;1259986644;1306036991;1365396497;1456297953;1529558229;1625968948;1706362855;1761371762;1821071116;1858364850;1865856664
Benin;Green GDP;184214406;181709577,5;250593120,5;337803252,4;381024815,1;498220895,7;516624569,8;562571494,4;744037537,6;997773491,3;1208910029;1089297434;1060883385;888931827,4;824597936,7;809716753,8;1113164972;1334555366;1394003672;1299610841;1755068955;1780347933;1468291801;2048815758;1368394072;1936778173;2136171838;2048783132;2247437503;3510333687;3332546583;3472624861;3970095761;5111246295;5945833391;6304476719;6728287156;7822663557;9376715024;9325177110;9156243356;10285715982;10685366243;12050883639;12797512814;10919439638;11338740265;12217448768;13741138812;14048792819
Bhutan;Green GDP;88673990,39;90523574,5;93978746,24;94800265,05;97715695,75;108580588,7;109787149,8;110678580,1;115037245,9;111053309,6;123405442,3;134897043,7;131680593,4;153824192,2;158695176,9;163596941,1;188953316,2;241078059,4;271771070,6;264302459,9;286030869,3;235049595,4;235356737,3;222854469,9;259581348,2;289460554;301770119,4;352025540;362659985,5;402905863,9;408062019,1;444428121,7;502928036,1;585539239,3;663638729;776909637,4;849641727,8;1131707728;1189735270;1196025295;1490333720;1714687353;1720024530;1701014290;1849421992;1937839307;2080695484;2373285757;2367190799;2439620500
Bolivia;Green GDP;908440900,4;959084437,4;1101232622;1101747833;1926900173;2200407352;2510341072;3002777257;3515312104;4012688930;4025600018;5514963254;5275672056;5114573456;5902255108;5113017936;3771014333;4080193000;4340380455;4375018993;4491029104;5066371266;5336223747;5418194672;5643660327;6345045097;6986275296;7506325052;8168430101;7952358766;7942318493;7807092336;7542297083;7647159771;8178803738;8643988256;10179926751;11754200500;15238308799;16247908876;18116703205;21682857076;24177986509;27294660869;29712525133;31052847203;32148904499;35142361212;38092085906;38563429744
Bosnia and Herzegovina;Green GDP;1149930938;1277684249;1369093012;1395970857;1409026893;1535995236;1645432037;1636622046;1763638505;1758603654;1834943180;2088773262;2528380892;2867894561;3029313465;2743756466;2109256324;2250142513;2372561272;2367881345;2071629624;1960919603;1700492955;1614855784;1188436200;1779289630;2704347727;3512495951;3937525143;4507744208;5288281921;5537904240;6428482690;8142431165;10343008728;10955166348;12570227161;15473196717;18727154781;17280049511;16800769569;18193968701;16820798222;17292582398;17701519059;15427476275;16046340636;17172459470;19215398876;19674670477
