Country Name;Indicator Name;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Bahrain;GDP (current US$);1698569562;1715258948;1785485623;19856969254;2152562565;2254857845;2563689854;2754855124;2845152568;2985696585;3072698328;3467819149;3645744681;3735106383;3905585106;3651861702;3052393617;3392021011;3702393617;3863563830;4229787234;4616223404;4751063830;5200265957;5567553457;5849467819;6101861436;6349202394;6183776596;6621010372;9062898936;8976196809;9593510638;11074813830;13150159574;15968723404;18504760638;21730000000;25710904255;22938218085;25713271277;28776595745;30749308511;32539468085;33387712766;31125851064;32250132979;35423643617;37652500000;38574069149
Bangladesh;GDP (current US$);8992721809;8751842840;6288245867;8086725729;12512460520;19448348073;10117113333;9651149302;13281767143;15565480322;18138049096;20249694002;18525399202;17609048822;18920840000;22278423077;21774033333;24298032258;26579005760;28781714764;31598341234;30957483950;31708874594;33166519418;33768660883;37939748769;46438484108;48244309133;49984559471;51270569884;53369787319;53991289844;54724081491;60158929188;65108544250;69442943089;71819083684;79611888213;91631278239;1,02478E+11;1,15279E+11;1,28638E+11;1,33356E+11;1,4999E+11;1,72885E+11;1,95079E+11;2,21415E+11;2,49711E+11;2,74039E+11;3,02571E+11
Barbados;GDP (current US$);198658235,5;215254876,6;258652351,2;289586584,7;311809337,5;402178605;435911268,6;495097667,9;552883707,1;670362452,1;1012280615;1114204743;1163923830;1236016507;1346890071;1409536121;1547755183;1704370308;1812757918;2006165167;2012131457;2020583702;1957000000;2063342117;2151344901;2216974096;2363645403;2498384130;2817083478;2951822205;3059500000;3054500000;3106500000;3209500000;3444500000;3819500000;4217500000;4674000000;4785000000;4465500000;4530000000;4657500000;4610000000;4677000000;4696500000;4715000000;4830000000;4978000000;5086500000;5209000000
Belarus;GDP (current US$);11985628748;12286365268;12978546824;13348596251;13740567149;13986253894;14125403617;14362502185;14525417895;14851479654;15425487596;15525489854;15863265896;16425863895;16589632567;16859634258;17542893652;18352689685;18758696253;19856895862;21650000000;18000000000;17037037037;16280991736;14932024169;13972676841;14756846154;14128408566;15222012660;12138486532;12736856828;12354820144;14594249023;17827791321;23144351852;30207567317;36954312354;45277399814;60763483146;50874078052;57222490769;61757788945;65685102555;75527984234;78813839984;56454734397;47722657821;54726595249;60031262269;63080457023
Belgium;GDP (current US$);26706196127;29821661541;37209417835;47743801490;56033078190;65678188659;71113883177;82839905346;1,01247E+11;1,16315E+11;1,26829E+11;1,0473E+11;92095926629;87184238659;83349529880;86268264488;1,20019E+11;1,49394E+11;1,62299E+11;1,64221E+11;2,05332E+11;2,10511E+11;2,34782E+11;2,24722E+11;2,44884E+11;2,88026E+11;2,79201E+11;2,52708E+11;2,58528E+11;2,58159E+11;2,36205E+11;2,36541E+11;2,57158E+11;3,17382E+11;3,68537E+11;3,85571E+11;4,07918E+11;4,70324E+11;5,15224E+11;4,81346E+11;4,80952E+11;5,22646E+11;4,96181E+11;5,21643E+11;5,34678E+11;4,6215E+11;4,75901E+11;5,03789E+11;5,42686E+11;5,29607E+11
Belize;GDP (current US$);53233532,93;59207317,07;66062500;78343558,28;103216374,3;118066298,3;96905829,6;117650000;136300000;151800000;197938222,4;196089854,7;182206327;192103186;214381949;212643742,7;231638320,5;281082558,6;320093360,3;369133890,7;412086445,5;444720750;518239100;559858250;580863700;620140400;641383800;654314350;688992450;732732350;832050000;868350000;925050000;983500000;1051350000;1102050000;1210150000;1271600000;1351350000;1317300000;1377200000;1460800000;1522900000;1579400000;1662800000;1723800000;1775100000;1836600000;1871200000;1879613600
Benin;GDP (current US$);333627758,2;335072975,2;410331901;504376035,7;554654787;676870140,3;698408244,4;750049739,2;928843304,8;1186231265;1405251547;1291119965;1267778489;1095348303;1051133927;1045712703;1336102041;1562412030;1620246187;1502294411;1959965244;1986437860;1695315306;2274557914;1598075932;2169627251;2361116588;2268301538;2455092582;3676045653;3511248900;3663017700;4174634520;5337266688;6179176459;6565043460;7027863025;8158257572;9748276762;9699586794;9535344283;10693321954;11141358945;12517845732;13284528654;11388160958;11821066153;12701656931;14250985959;14390709095
Bhutan;GDP (current US$);91254878,8;95254715,2;98958684,9;100528478,8;104587458,6;115263849,9;117548521,7;119254685,2;124568597,5;121585496,3;135653295,2;146391639,7;148934334;165585940,6;169264991,2;172217502;201375725,6;253182453,7;283855833,3;275949889,1;299787275,8;250045839,9;250794359,6;235239570,4;270801565,2;303053462,8;316420860,9;365964500,1;376955087,3;419035810,5;424464089,9;461444513,7;520849551,5;604041957,9;682523857;796938120,2;874989895,6;1168308517;1227808791;1234014292;1547991318;1777101317;1781281282;1756215665;1907090813;2003598213;2158972129;2450364928;2446674102;2516325415
Bolivia;GDP (current US$);1017003367;1095622896;1257615645;1262968516;2100249875;2404697651;2731984008;3227436282;3758220890;4421343606;4526916803;5872756933;5587490265;5422440962;6169501038;5377277407;3958338883;4323623622;4597615563;4715978868;4867582620;5343274312;5643893347;5734676561;5981244887;6715220507;7396966657;7925673448;8497545598;8285075872;8397912509;8141537938;7905485216;8082364868;8773451739;9549077869;11451869165;13120183157;16674324634;17339992165;19649631451;23963033588;27084497540;30659338784;32996188133;33000198263;33941126194;37508642113;40287647902;40895322865
Bosnia and Herzegovina;GDP (current US$);1256358478;1385698541;1478562514;1512021451;1524578478;1652352647;1762536251;1754856894;1883251562;1879658562;1958658487;2214521784;2658963652;2985685478;3152547854;2896956895;2263658548;2415896959;2541362589;2545896854;2256895845;2158568947;1896856749;1785869846;1255802469;1866572954;2786045322;3671816504;4116699437;4685733115;5505887894;5748993411;6651106833;8369878823;10596205714;11222953519;12864610994;15778767670;19112739664;17613836210;17176781337;18644723861;17226849297;18178503835;18558343508;16211541253;16913330694;18080118128;20183498491;20047848435
Botswana;GDP (current US$);962451143,5;1269574943;1652580935;2441290885;3060338485;3551724137;3720101197;4516033254;5903767204;8198773002;10609238294;10738615994;10149072545;11722581825;12407963643;11147640071;13926347713;19652748823;26445368043;30838006845;3790567052;3942792837;4146513722;4160086253;4259330999;4730611067;4847752843;5020214747;4790458837;5484257417;5788329609;5489608300;5438857107;7511582173;8957467707;9931134941;10126940513;10939053365;10945070442;10267133178;12786654366;15351972230;14420393564;14901750765;16250750259;14420604206;15646316818;17405538618;18663264706;18340510789
Brazil;GDP (current US$);42327600098;49204456700;58539008786;79279057731;1,05136E+11;1,23709E+11;1,52678E+11;1,76171E+11;2,00801E+11;2,24969E+11;2,35025E+11;2,63561E+11;2,81682E+11;2,03305E+11;2,09024E+11;2,22943E+11;2,68137E+11;2,94084E+11;3,30397E+11;4,25595E+11;4,61952E+11;6,0286E+11;4,00599E+11;4,37799E+11;5,58112E+11;7,69305E+11;8,50426E+11;8,832E+11;8,63723E+11;5,99389E+11;6,55421E+11;5,59372E+11;5,07962E+11;5,5832E+11;6,69317E+11;8,9163E+11;1,10764E+12;1,39708E+12;1,69582E+12;1,66702E+12;2,20887E+12;2,6162E+12;2,46519E+12;2,47281E+12;2,45599E+12;1,80221E+12;1,7957E+12;2,06283E+12;1,88548E+12;1,83976E+12
Brunei Darussalam;GDP (current US$);1075689652;1063214786;1053213248;1046589685;1073577086;1168304306;1423061357;1732721161;1941600704;2803780006;4928824958;4366213850;4264252336;3844723142;3782523088;3523612563;2358592817;2754463438;2690717551;2985467979;3520551724;3701667053;4183548189;4105706152;4087337960;4734020037;5115602837;5197332974;4051147228;4600000000;6001153306;5601090584;5843329108;6557333085;7872333215;9531402848;11470703002;12247694247;14393099069;10732366286;13707370737;18525319978;19047940300;18093829923;17098342541;12930394938;11400854268;12128104859;13567351175;13469422941
Bulgaria;GDP (current US$);8956859856;9152485685;9958632548;11486589651;12520147896;13956256220;14525478547;16523689475;17863256487;18958685478;19839230769;19870000000;19342000000;16563666667;17594944444;17155421053;20249294118;28101000000;22555941176;21988444444;20632090909;10943548387;10350515464;10829710145;9697416974;18983303571;12294221473;11315986087;15030695297;13627323285;13245833844;14183497963;16402846413;21144983552;26157894737;29869283400;34379808889;44405101470;54438966420;51999181062;50363282117;57363610380;54013812089;55591336862;56883172568;50630703922;53785050339;58950125036;66200847918;67927179737
Burkina Faso;GDP (current US$);458404330,1;482411279;578595584;674773821,2;751133642,6;939972703,5;976547572,2;1131225279;1475584037;1748480982;1928720390;1775842680;1754450379;1600278756;1459880353;1552493414;2036303381;2369835439;2616040646;2615588546;3101301781;3135045684;2240264712;2332018011;1895290965;2379518099;2586550747;2447669404;2804902724;3364819317;2956746304;3187582125;3605329547;4730140785;5441918269;6143909201;6541603851;7615651314;9413335567;9412813382;10109618964;12080296644;12561016091;13444301139;13943016924;11832159276;12822558022;14169905602;16199434625;15745810235
Burundi;GDP (current US$);242732571,4;252842285,7;246804571,4;304339839,6;345263492,1;420986666,7;448412753,6;547535555,6;610225555,6;782496666,7;919726666,7;969046666,7;1013222222;1082926304;987143931,2;1149979286;1201725497;1131466494;1082403219;1113924130;1132101253;1167398478;1083037671;938632612;925030590,2;1000428394;869033856,3;972896267,9;893770806,1;808077223,4;870486065,9;876794723,1;825394490,2;878965865,2;915257323,4;1117113046;1273375020;1356199365;1611835902;1781455092;2032135247;2235820868;2333308099;2451625333;2705783272;3104394858;2959640987;3172292379;3036931818;3012334882
Cabo Verde;GDP (current US$);92563525,8;99856854,5;101234152,2;103547468,8;108476235,5;119656328,6;122475845,8;128568958,8;132524784,4;135858968,5;142246875,5;139468114,6;140630758,6;138476239,4;132019065;137728155,2;190651208;235253171,8;264308140,3;267448513,1;306891107,3;319827058,6;357160985,3;490417389,7;406580652,3;487148993,5;501979069,3;490608657,9;521910560,5;592416703,1;539227277,6;563024383,3;620974660,2;813963830,2;924318490,8;971977088,2;1107891063;1513933983;1789333749;1711817182;1664310770;1865915544;1741809809;1850470042;1859898513;1596800287;1662998678;1769787215;1966983316;1981845741
Cambodia;GDP (current US$);718401157,7;969911421,4;505549441,4;702899156;588443893,7;612521548;695868584;715425489;798568598;895865241;915245468;998568958;1056327487;1152548574;1256632547;1356284854;1523684879;1625845789;1856352647;1962535848;2056385487;2152358496;2453625894;2533727592;2791435272;3441205693;3506695720;3443413389;3120425503;3517242477;3677897739;3984000517;4284028483;4658246918;5337833248;6293046162;7274595707;8639235842;10351914093;10401851851;11242275199;12829541141;14054443213;15227991395;16702610842;18049954289;20016747754;22177200512;24571753583;27089389787
Cameroon;GDP (current US$);1160002261;1233991075;1430951332;1758727395;2255496995;2752771044;3076592431;3366368665;4409920644;5811444661;6740756569;7636345827;7322914570;7381854747;7801858825;8148223604;10621158533;12302471429;12493286762;11140055364;11151578051;12434370005;11396310990;15498179313;10600157684;9643953175;10513387442;10833497458;10612847429;11198378749;10083937740;10371327756;11579343088;14548845765;17430933517;17944084201;19356046328;22365265026;26409781215;26017925552;26169323293;29375448542;29102772799;32357345501;34989493826;30928653814;32643697596;35009262788;38694095651;38760467033
Canada;GDP (current US$);87896095224;99271961478;1,13083E+11;1,31322E+11;1,60409E+11;1,73834E+11;2,06576E+11;2,11612E+11;2,18633E+11;2,43072E+11;2,73854E+11;3,06215E+11;3,13507E+11;3,40548E+11;3,55373E+11;3,64756E+11;3,77438E+11;4,31317E+11;5,07354E+11;5,65056E+11;5,9393E+11;6,10328E+11;5,92388E+11;5,77171E+11;5,78139E+11;6,04032E+11;6,28546E+11;6,52824E+11;6,31813E+11;6,76084E+11;7,42295E+11;7,3638E+11;7,57951E+11;8,92382E+11;1,0232E+12;1,16936E+12;1,31542E+12;1,46498E+12;1,54913E+12;1,37115E+12;1,61346E+12;1,78865E+12;1,82869E+12;1,84721E+12;1,80353E+12;1,55613E+12;1,52824E+12;1,64988E+12;1,71626E+12;1,73643E+12
Chad;GDP (current US$);469266736,6;501866730,7;585427545,7;647199482,8;652532796,1;864602103,3;866044961;935360466,4;1113920123;1004316495;1033002402;876937559,7;834369860,4;832415806;919103735,3;1033069710;1067828247;1163426851;1482597299;1433686310;1738605558;1877138042;1881847677;1463251055;1179837955;1445919970;1607345450;1544689503;1744794457;1534673583;1385058162;1709347793;1987622279;2736666516;4414929220;6646663561;7422102656;8638711443;10351932604;9253484108;10668102735;12172309523;12367363678;12953535496;13940768066;10950392220;10097778354;10000395242;11239167048;11314951343
