,China,India,United States,Indonesia,Pakistan,Brazil,Nigeria,Bangladesh,Russian Federation,Mexico,Japan,Ethiopia,Philippines,"Egypt, Arab Rep.",Vietnam,"Congo, Dem. Rep.",Germany,Thailand,France,United Kingdom,Tanzania,South Africa,Italy,Kenya,Myanmar,"Korea, Rep.",Colombia,Spain,Uganda,Argentina,Canada,Poland,Morocco,Saudi Arabia,Uzbekistan,Angola,Peru,Australia,Ecuador,Netherlands,Senegal,Guatemala,Cuba,Uruguay,Finland,Singapore,Slovak Republic,Norway,Oman,Liberia,Costa Rica,Botswana,Chile
1970-01-01,92602973434.0726,62422483054.6667,1073303000000.0,9150684931.50685,10027509449.810999,42327664793.6934,12545849083.0183,8992721809.39332,,35520000000.0,212609187919.44397,,7559179530.342291,8042200452.1477,,4877684910.17964,215838448137.65802,7086538437.5,148456359985.827,130671946244.3,,21218391521.5551,113395315985.13,1603447357.25171,578992638.8291,9005023183.92581,7198360460.198871,40992995008.3195,1260084033.61345,31584210365.5447,87896095320.1263,,3956328426.0448604,5377268848.44444,,,7432223176.74419,41337215813.6409,2862504169.99893,38164716625.0685,1297407828.6025,1904000000.0,5693005200.0,2137096774.19355,11357516987.5425,1920586698.0269198,,12814123115.2613,256299496.040317,,984830158.490566,96245114.4611949,9126309734.513279
1971-01-01,99800958648.1436,67350988021.3932,1164850000000.0,9333536359.744308,10665896682.0664,48869830901.7878,9181769911.504429,8751842839.79658,,39200000000.0,240151807460.24103,,8375086047.079309,8609283346.08518,,5594770359.28144,249985055484.303,7375000024.03846,165966615366.40198,148113896325.14,,23411079378.0172,124672365792.759,1778391289.19123,559378375.675676,9903499927.98502,7820380970.53674,46619420359.2814,1417787114.84594,33293199095.4681,99271961774.6088,,4356633663.36634,7184863276.499959,,,8289582883.46253,45222309329.1522,2754220263.02528,44579122807.0175,1339548823.65225,1984800000.0,6914658400.0,2807258064.51613,12527405512.9298,2263785443.61688,,14583114840.0629,301010587.102984,,1077152902.29104,127456485.120719,10884114754.0984
1972-01-01,113687586299.051,71463193831.0092,1279110000000.0,10997590361.4458,9415016359.56604,58434858374.8696,12274416017.7976,6288245866.66667,,45200000000.0,318031297492.352,,9067872578.95368,9299638055.84281,,6173712814.37126,299801542047.476,8177884552.884609,203494148244.47302,169965034965.035,,24515911652.1848,145260039840.637,2107279157.3833601,634525053.103964,10862327878.032,8671358732.68486,59132415221.3306,1491596638.65546,34733000536.2862,113082820486.91801,,5074117544.77482,9664067929.69504,,,9189413409.04393,52051401869.1589,3185987234.84089,54706557264.4878,1620857277.17917,2101300000.0,8135150891.92025,2189418001.37898,14743186119.8738,2721440980.75851,,17358610849.701,366857738.40542,,1238251695.55388,164466873.706004,11853817307.6923
1973-01-01,138544284708.957,85515269585.4,1425376000000.0,16273253012.0482,6383429490.21091,83592275862.9982,15162871287.1287,8086725729.3407,,55280000000.0,432082670450.719,,11412421019.6409,10098534613.4411,,7870239461.077841,398374021953.89703,10838587357.7466,264429876252.21,192537971582.558,,33262767310.8192,175492055795.417,2508998457.4073,667038769.091964,13876531432.0145,10315760000.3394,78639525985.1513,1702521008.40336,52544000116.9037,131321858814.119,,6242177798.339379,14947491056.4938,,,10994381894.831999,63844971172.3254,3891755551.9413795,71840909664.1968,1863398448.33218,2569200100.0,9987709650.18094,3964295672.52444,19472363466.6252,3696213333.3333297,,22534253702.8686,483033932.135729,,1528916185.23199,244129088.027662,16836261173.1844
1974-01-01,144182133387.722,99525899116.054,1545243000000.0,25802409638.5542,8899191919.191921,109794519727.53801,24846641318.1242,12512460519.7088,,72000000000.0,479625998613.406,,15607825071.0824,9228963224.60004,,9596960179.64072,445303484241.55396,13703000530.0587,285552373158.75604,206131369798.971,,41389185875.3114,199564489431.37802,2969942180.34692,1000557949.59229,19544094741.2663,12370029583.6419,97274006345.5437,2100142653.35235,72436777342.4443,160408697341.513,,7675408485.51421,45412971909.8592,,,13858441211.1111,88981577008.1061,6599259420.99605,87243413394.5405,2099324949.8659601,3161499900.0,11405957317.0732,4090209681.97172,24848821490.4679,5221534955.644179,,27145693810.1341,1645917776.49102,,1666544754.09836,306033848.417954,16210404183.5358
1975-01-01,163431551779.761,98472796456.884,1684904000000.0,30463855421.6867,11230606060.6061,129203555238.827,27778934624.6973,19448348073.4565,,88000000000.0,521541905673.25104,,16875240683.5083,11632178868.9171,,10237343173.6527,490636517211.225,14882747955.0328,360832186018.051,241756637168.142,,42906919870.1343,227695851126.928,3259344935.76836,1128484859.0250301,21784297520.6612,13098633901.8673,114777046376.812,2359555555.55556,52438647921.9226,173834029689.34302,,8984824182.60333,46773303721.2872,,,16877163792.0988,97333060221.2208,7731677256.80982,100249523353.085,2830388404.8977,3645900000.0,13027415243.9024,3538283322.07726,29472623242.2822,5633673929.99302,,32877805200.023,2096699189.3456898,,1960863465.5776,355172413.793103,7622217352.342159
1976-01-01,153940455341.50598,102717164466.39699,1873412000000.0,37269156626.506004,13168080808.0808,153168949208.207,36308883248.731,10117113333.3333,,89025974025.974,586161858999.671,,19380945792.5084,13315988083.4161,,9648583224.99212,519754453161.411,16985211146.0238,372319038514.067,232614555256.065,,41150449966.4624,224717278436.846,3474542392.0321198,1155595925.08513,29902479338.843,15341403660.4698,118507184779.905,2447300000.0,51169499892.1722,206575564908.722,,9584323309.121359,64005623869.6884,,,15947709379.6099,105101474851.885,9091924304.83477,109168720620.10301,2869777812.3921103,4365300200.0,13789579902.5579,3667161241.4837203,31849513771.3494,6327077974.10703,,35942270686.3374,2560220034.74233,,2412555425.90432,372010119.59521604,10341925249.0421
1977-01-01,174938098826.569,121487322475.91199,2081826000000.0,45808915662.6506,15126060606.0606,176344101401.941,36035407725.3219,9651149301.8746,,81814159292.0354,721411786536.8141,,22283185055.6546,14400806875.9867,,12344424763.5727,600498238019.035,19779315170.0237,410279486493.715,263066457352.172,,45328399963.0574,257596313364.055,4494378855.33109,1000350726.8741801,38446487603.3058,19470960619.1297,132449277108.434,2936470588.23529,56781000101.0848,211612157028.679,,11049896742.3889,74188363504.5814,,,14620386674.2243,110387703601.744,11026346589.5011,127016990212.804,2938046307.24476,5480500200.0,14206158674.6988,4114667062.6491704,33499799321.2336,6618585073.66035,,41508030431.1074,2741169947.8865104,,3072427012.8354697,451603325.41567695,13962893421.5413
1978-01-01,149540752829.268,137300295313.3,2351599000000.0,51455719100.27,17811515151.5152,200278646123.58102,36527862208.7133,13281767142.8571,,102500000000.0,1013612173518.84,,25762077665.6982,14811704063.0685,,15372608002.3923,740469983446.933,24006570178.1561,506707848837.209,335883029721.956,,51607399957.94,315058323066.393,5303734882.534471,916914661.3494211,51972107438.0165,23263511958.0509,160599687500.0,2420260869.56522,58082870156.329,218632867537.477,,13236854105.1672,80265732292.0344,,,12519809967.3077,118535980148.88301,11922502170.6405,155859695457.323,3280354339.37247,6070600200.0,17844705324.6753,4910257282.93153,36256160288.8087,7517176354.84135,,46523091009.6713,2740301389.69311,,3523208809.8016295,590376720.598889,15989933708.1491
1979-01-01,178280594413.043,152991653793.77,2627333000000.0,51400186379.1873,19688383838.3838,221338204480.222,47259911894.2731,15565480321.9448,,134561403508.77199,1055012119526.33,,31218507869.8746,18020571428.5714,,15068422236.3663,881345176608.6859,27371699082.7126,613953129818.07,438994070309.19104,,63038687892.9693,393677161500.81604,6234390975.27091,919525191.636393,66946900826.4463,27940411250.2732,214601955875.06198,2139025000.0,69252328951.6441,243072102612.25897,,15912133569.2852,111859726428.231,,,15934081741.3333,134941497216.858,14175166007.5774,179669405690.432,4084878667.84567,6902600200.0,19584443287.6712,7181185277.986509,44465255686.1548,9296921723.83465,,53132244623.9213,3733352634.62652,,4035519323.22054,819877300.613497,21803696985.2349
