,st
370,-2.2360561439634226
371,-1.059798752956893
372,0.47133944509778947
373,-0.38631721564116384
374,1.4817401887275516
375,1.0424510253163624
376,2.062384084710859
377,2.260376470411798
378,1.1217857425177984
379,0.2427363540966747
380,0.28278153900387965
381,0.6048766445513007
382,0.46987309428612234
383,1.7266775129560954
384,2.14868166071724
385,2.110613777114272
386,1.9832357676955419
387,2.4620663581290367
388,1.108962772560914
389,0.7608540882431762
390,1.1710820785054217
391,2.1867172907766297
392,1.5435866348398166
393,0.47681015750145717
394,-0.24506315862894523
395,0.1604730797179793
396,-1.3783190643594851
397,-1.696909418009476
398,-1.1991836360409676
399,-1.371339951725818
400,0.6679863941128704
401,0.44801937606640885
402,-0.295081440351204
403,0.6614257350545614
404,0.14863854503406304
405,1.7132547326083016
406,2.5086692674390263
407,1.9368914902128034
408,0.6584269109158744
409,-1.7142501100025933
410,-0.1522611324413019
411,1.1959019037742087
412,2.3604351541203275
413,2.344385262834797
414,0.44073244251300825
415,0.9618620692294872
416,0.5504131758343923
417,0.6097268081657157
418,0.5557565432701964
419,-0.7186419468288908
420,-1.5682668550984737
421,-0.7778256615102017
422,-0.15213252505168917
423,-0.11640001712315243
424,0.41306166737626165
425,-1.0515815649856277
426,-0.7845396649027817
427,0.07238516902896197
428,-0.4151505248182735
429,0.936069346816844
430,-0.39414649187884443
431,-0.3916934527140438
432,-0.8704910584125439
433,-0.46532464517240335
434,-1.0146311761771774
435,-0.7194338134344025
436,1.1184765703492372
437,1.9571185652419572
438,2.3640787090379902
439,1.8657871357038334
440,-0.5878350118510711
441,-0.6558027273615025
442,-2.046267445631186
443,-0.6922569500779203
444,-0.20694110402269322
445,-1.2914851542161987
446,0.9483775794757558
447,1.9871443153632171
448,0.1261873920050267
449,-0.15020924516000106
450,-0.37835250833825884
451,-0.24924956364877754
452,1.1527608986292583
453,0.031067282393228424
454,-0.33693618539759473
455,-0.7571076581351575
456,-1.061694564216595
457,-0.3058156194384483
458,0.5299834404268398
459,-1.1631536590667617
460,-1.7291524453108438
461,-0.7354365533552017
462,-0.23092550359797098
463,-0.1649570458478654
464,0.6579045252593427
465,-1.60502806087877
466,-1.9324611293808784
467,-1.009299179203839
468,-0.2641918766970972
469,0.051146557589203445
470,-0.42487139170596766
471,0.8895329409220365
472,-0.5232814675547984
473,-0.3279994355914985
474,-0.5409113401034746
475,-0.36643131306047216
476,0.5297683192864038
477,-0.35434259158100057
478,-0.8927198252874755
479,-0.84175307743949
480,-0.24136425056583583
481,0.7068526286467642
482,0.5081467705765188
483,-0.7604653863195654
484,-0.6101524526110628
485,-0.6018831681047642
486,1.82082439007304
487,3.064725770291927
488,1.2956743769381092
489,-0.12222019105625948
490,-1.4151617645946373
491,-2.0803340794085274
492,-1.4179795693047395
493,0.3595930123975267
494,-0.04208802007335455
495,0.34219254985142133
496,-0.39714679533516634
497,-1.786479504071457
498,0.15144467186523025
499,0.6366741365656539
