date,Temperatura,Rainfall (mm)
2017-01-01,25.60625,0.08958333333333333
2017-01-02,25.697916666666668,0.0062499999999999995
2017-01-03,26.25208333333333,0.0
2017-01-04,26.15833333333333,0.0
2017-01-05,25.566666666666666,0.0
2017-01-06,24.1875,0.12291666666666666
2017-01-07,25.589583333333334,0.07916666666666666
2017-01-08,25.604166666666668,0.0
2017-01-09,25.566666666666666,0.0
2017-01-10,25.522916666666664,0.0
2017-01-11,25.943749999999998,0.0
2017-01-12,26.664583333333336,0.0
2017-01-13,27.266666666666666,0.0
2017-01-14,26.65833333333333,0.0
2017-01-15,26.322916666666668,0.0062499999999999995
2017-01-16,25.983333333333334,0.0
2017-01-17,26.558333333333334,0.0
2017-01-18,27.316666666666666,0.0
2017-01-19,27.64375,0.0
2017-01-20,27.383333333333336,0.0
2017-01-21,26.977083333333336,0.23124999999999998
2017-01-22,26.933333333333334,0.0062499999999999995
2017-01-23,26.972916666666666,0.0
2017-01-24,28.166666666666668,0.0
2017-01-25,27.170833333333334,0.027083333333333334
2017-01-26,25.87708333333333,0.3604166666666666
2017-01-27,25.441666666666666,0.010416666666666666
2017-01-28,26.172916666666666,0.0
2017-01-29,27.620833333333334,0.0
2017-01-30,26.729166666666668,0.0
2017-01-31,24.87708333333333,0.8291666666666666
2017-02-01,25.72244897959184,0.19183673469387752
2017-02-02,26.360416666666666,0.0
2017-02-03,27.254166666666666,0.0
2017-02-04,27.620833333333334,0.0
2017-02-05,27.635416666666668,0.0
2017-02-06,27.441666666666666,0.0
2017-02-07,28.49791666666667,0.0
2017-02-08,27.610416666666666,0.0
2017-02-09,27.60625,0.0
2017-02-10,27.37708333333333,0.0
2017-02-11,27.202083333333334,0.0
2017-02-12,27.506249999999998,0.0
2017-02-13,27.304166666666664,0.0
2017-02-14,27.822916666666668,0.0
2017-02-15,28.162499999999998,0.0
2017-02-16,28.116666666666664,0.0
2017-02-17,26.96530612244898,0.006122448979591836
2017-02-18,28.3125,0.0
2017-02-19,27.70625,0.0
2017-02-20,29.162499999999998,0.0
2017-02-21,29.066666666666666,0.020833333333333332
2017-02-22,27.633333333333336,0.32978723404255317
2017-02-23,24.71875,0.21666666666666667
2017-02-24,26.620833333333334,0.0
2017-02-25,27.360416666666666,0.0
2017-02-26,27.631249999999998,0.0
2017-02-27,25.587500000000002,0.7000000000000001
2017-02-28,26.954166666666666,0.0
2017-03-01,27.625,0.0
2017-03-02,26.9375,0.0
2017-03-03,27.235416666666666,0.0
2017-03-04,26.854166666666668,0.0
2017-03-05,26.410416666666666,0.0
2017-03-06,27.270833333333332,0.0
2017-03-07,26.09375,0.6687500000000001
2017-03-08,24.37708333333333,0.46249999999999997
2017-03-09,26.575,0.09166666666666667
2017-03-10,26.308333333333334,0.0
2017-03-11,26.579166666666666,0.03125
2017-03-12,24.06458333333333,0.18541666666666667
2017-03-13,25.422916666666666,0.06458333333333334
2017-03-14,26.916326530612245,0.05714285714285714
2017-03-15,28.537499999999998,0.0
2017-03-16,28.329166666666666,0.0
2017-03-17,28.516666666666666,0.0
2017-03-18,27.672916666666666,0.0
2017-03-19,26.09583333333333,0.05416666666666667
2017-03-20,24.704166666666666,0.075
2017-03-21,25.754166666666666,0.0062499999999999995
2017-03-22,25.03333333333333,0.9291666666666667
2017-03-23,25.633333333333336,3.9875000000000003
2017-03-24,26.587500000000002,0.0
2017-03-25,26.224999999999998,0.11249999999999999
2017-03-26,26.675,0.4229166666666666
2017-03-27,26.20625,0.5166666666666667
2017-03-28,26.883333333333336,0.016666666666666666
2017-03-29,26.614583333333332,0.0
2017-03-30,27.12708333333333,0.725
2017-03-31,26.181250000000002,0.22083333333333333
2017-04-01,25.84375,0.11458333333333333
2017-04-02,27.78333333333333,0.0062499999999999995
2017-04-03,28.412244897959184,0.0
2017-04-04,27.745833333333334,0.027083333333333334
2017-04-05,27.772916666666664,0.0
2017-04-06,27.73125,0.0
2017-04-07,28.052083333333332,0.0
2017-04-08,28.883333333333336,0.0
2017-04-09,27.71666666666667,0.0
2017-04-10,25.170833333333334,0.0
2017-04-11,26.995833333333334,0.0
2017-04-12,24.472916666666666,0.13125
2017-04-13,26.510416666666668,2.00625
2017-04-14,24.160416666666666,1.0958333333333334
2017-04-15,25.84375,0.18125
2017-04-16,25.18541666666667,0.0
2017-04-17,25.914583333333336,0.0
2017-04-18,25.008333333333336,0.5854166666666667
2017-04-19,25.9875,0.0
2017-04-20,26.870833333333334,1.0958333333333334
2017-04-21,23.525000000000002,0.94375
2017-04-22,26.525000000000002,0.0
2017-04-23,26.141666666666666,0.20625000000000002
2017-04-24,26.972916666666666,0.03125
2017-04-25,28.09375,0.3854166666666667
2017-04-26,25.379166666666666,1.91875
2017-04-27,27.822916666666668,0.8625000000000002
2017-04-28,25.745833333333334,0.016666666666666666
2017-04-29,25.929166666666664,0.23333333333333336
